label,sentence
11," ⁃ Релевантный опыт работы от 1 года;"
11," ⁃ Опыт работы с Git;"
11," ⁃ Опыт работы в команде."
11,Приветствуется:
11," ⁃ Опыт работы по методологии Scrum;"
11," ⁃ Наличие опыта работы в формате спринтов."
17,Какие условия мы предлагаем:
17," ⁃ Полностью удаленная работа;"
17," ⁃ Быстрый карьерный рост;"
17," ⁃ Возможность брать более широкую ответственность;"
17," ⁃ Гибкий график."
1,По всем вопросам писать в Telegram @k1rm1
0,МФТИ.
3,Лаборатория цифровых систем
6,"Полная занятость, полный день"
12,Вилка 100к - 150к
9,Обязанности:
9,Разработка  клиент-серверного ПО для обработки
0,изображений
9,Разработка и поддержка внутреннего программного обеспечения
11,Требования:
0,Желательно
11,Vue.js
17,Условия:
17,"Современный офис в г. Долгопрудный (15 минут общественным транспортом от станций метро Окружная, Тимирязевская, Алтуфьево)"
17,Возможно предоставление служебного жилья
17,Трудоустройство по ТК РФ
17,"Публикация результатов работ в ведущих изданиях, участие в российских и международных конференциях"
17,Молодой и дружный коллектив
0,- пишите мне в личку
3,Название компании: Datana
7,Должность: Team lead команды разработки
10,"Город и адрес офиса: Москва, Мурманский проезд, 14к1, м. Алексеевская"
6,"Формат работы: можно полностью удаленно, но в идеале 2-3 раза в неделю появляться в офисе."
13,Занятость: полная
12,Зарплатная вилка: от 300к до 350к на руки
4,Описание вакансии:
0,Всем привет!
5,Компания Datana занимается внедрением CV и ML решений для оптимизации производственных процессов в металлургической промышленности.
4,Нам нужен тимлид разработки:
11,Требования
11,Опыт работы в роли Team Lead  команды разработки > 2 лет
11,"Опыт разработки систем, под капотом которых ML, CV, получение и анализ потоковых данных"
11,Опыт управления полноценной командой (аналитика- разработка -тестирование-delivery от аналитики до production)
11,"Знание паттернов сбора, анализа и управление требованиями"
11,Знание паттернов тестирования
11,"Хорошее знание используемого стека разработки (Java 11, Kotlin, Docker, Kubernetes, Hibernate, Apache Camel, Spring Boot, Kafka, postgres, ELK, Cassandra, Gitlab CI/CD, Websocket, OpenAPI, OpenCV)"
11,Опыт построения решений в микросервисной архитектуре
11,Опыт в проектировании систем (хорошая оценка в секции дизайна)
9,Обязанности
9,"Матричное управление 2-3 командами разработки (аналитики, разработчики, QA инженеры, CI\CD) – управление командой, контроль качества работы, решение сложных вопросов, мастер-контроль архитектурных решений"
9,Проектирование архитектуры решения
9,Определение стека разработки для новых сервисов
9,Обсуждение требований и участие в планировании развития продукта
9,Придется кодить самому
9,"Найм, решение конфликтных вопросов и контроль настроения разработчиков в командах"
9,"Ведение общих активностей по всем разработчикам (общие встречи, обучение, коучинг и т.п.)"
9,"Выстраивание процесса и контроль рефакторинга и ревью кода, написанного разработчиками"
9,"Контроль и оптимизация процессов CI, CD"
1,Контакты: HR @PuzakovMM Пузаков Михаил
1,@rddoronin - могу ответить на ваши вопросы про компанию и нашу деятельность
7,📌Quant/ML Researcher (HFT)
3,Компания: Alber Blanc
10,Локация: г. Санкт-Петербург (ст.м.
10,"Беговая) или г. Лимасол, Кипр"
6,"Формат работы: офис, гибкий график"
12,Вилка: $6000-10000 net + бонусы
3,Компания: START
7,Позиция: Data Scientist
10,"Локация: Москва, гибрид, удаленка +- 4 часа от часового пояса москвы"
12,Вилка: 230 - 300 gross + 10% полугодовая премия по kpi
9,Основная задача - улучшать рекомендательные продукты сервиса
9,Ваши задачи:
9,Улучшение качества user-2-item и item-2-item моделей
9,Разработка learning to rank моделей
9,Определение и формализация целевых метрик
9,Улучшение инфраструктуры для функционирования рекомендательной системы
11,Мы ожидаем:
11,Высшее техническое образование
11,Аналогичный опыт работы на позиции Data Scientist/Data Analyst от 2 лет
11,Опыт написания продакшен кода на Python
11,Уверенный SQL
11,Владение git/bash/docker
11,Понимание основных ML алгоритмов
11,"Знания: Python, Airflow, SQL, ClickHouse, Git, Docker, bash, Strong ML"
11,"Желательно: опыт работы с персонализированными продуктами на основе данных (рек системы, аплифт модели, маркетинговые модели), опыт построения рекомендательных систем, опыт проведения А/Б тестов."
7,Позиция: Data Analyst
10,"Локация: Москва, гибрид, удаленка +- 4 часа от часового пояса москвы"
12,Вилка: 180 - 250 gross + 10% полугодовая премия по kpi
9,Обязанности:
9,Разработка системы автоматизации расчетов АБ экспериментов
9,Разработка системы метрик и мониторинга рекомендательной системы
9,Разработка системы маркетинговых взаимодействий с пользователями на основе данных
11,Требования:
11,Высшее техническое образование
11,Опыт работы в аналитике данных от 2-х лет
11,Опыт проведения и автоматизации A/B тестов
11,Опыт взаимодействия с заказчиками
11,"Знания Python, Airflow, SQL, ClickHouse, Git, A/B тестирования, математической статистики"
11,"Желательно: Postgres, Tableau, базовое понимание ML"
0,(и кусок от hr)
17,Работа в START - это:
17,"Конкурентная зарплата, система бонусов"
17,Расширенная ДМС программа со стоматологией
17,Возможность удаленной работы
17,"Полное соблюдение ТК РФ (оформление, оплата больничных, отпусков и пр.)"
17,Свободный от дресс-кода и формального подхода к работе коллектив
10,Уютный офис в центре Москвы (м. Киевская)
17,Возможность пользоваться корпоративной библиотекой (свыше 1000 книг)
7,"Аналитик данных, Junior-Middle data analyst"
17,"Название компании: ООО “Шинсейл” (аккредитованная IT компания, Резидент Сколково, >150 коллег)"
14,Сайт продукта: shinsale.ru
6,Формат работы: Гибрид или Удалёнка
13,"Занятость: Частичная (part-time) (3-4 часа в день, но лучше даже на полную, мы гибкие, поможем совмещать)"
12,Зарплатная вилка: от 80к до 130к рублей на руки (зависит от опыта и занятости)
0,Привет!
4,"Меня зовут Сергей, я CEO и основатель shinsale."
4,За последний год наша выручка > 500 млн.
4,"ShinSale — прибыльная компания, основанная с нуля 4 года назад, которая работает на стыке re-commerce и e-commerce."
4,"Наша команада состоит в основном из физиком и математиков, что позволяет каждый год расти x2-3."
15,"Приходите к нам, сейчас самое время!"
15,"У нас интересно, мы еще не большая корпорация, но уже не стартап."
15,"Сейчас мы продолжаем строить новые дашборды, занимаемся динамическим ценообразованием, автоматизацией рекламы и другими сложными задачами, которые дают реальный эффект для бизнеса."
15,"Приходите к нам, у нас реально крутые задачи, классная атмосфера и математический mindset."
16,Технологии:
16,"SQL (без него никуда), Python (желательно, но необязательно), всему остальному научим"
1,Контакты: пишите лично мне @oganesian.
7,Должность стажер в Сбер
10,"Город Москва, Кутузовская"
12,Вилка 57 700 gross за 40 часов.
6,Можно part-time
13,Режим работы: смешанный - желательно иногда в офисе появляться
0,Описание вакансии Всем привет!
2,"Ищу себе в команду (сервис “Новостной мониторинг”, Сбер) стажёра."
15,"По правилам стажировки можно взять только тех, кто сейчас очно учится в ВУЗе."
5,"Мы занимаемся разработкой NLP моделей для анализа новостного потока: NER, entity linking, классификация."
7,Сейчас ищем аналитика с уклоном в DS.
9,"Задачи, которые можем предложить на стажировку:"
9,"• Суммаризация новостей (генерим саммари и смотрим, насколько теряется инфа о событии/заемщике)"
9,• Тематическое моделирование (мировые тренды)
9,"• Анализ алгоритмов мэтчинга сущностей, найденных в тексте, с тем, что есть в БД"
11,Требования:
11,• Умение внятно излагать свои мысли и представлять результаты своей работы
11,"• Уверенный Python, умение разбираться в чужом коде"
11,• Понимание основных принципов и алгоритмов классического ML
11,• Базовое понимание области NLP
11,"• БД: PostgreSQL, знание ElasticSearch будет плюсом"
15,"Стажировка обычно продолжается 3-6 месяцев, но тех, кто норм будет справляться, можно взять на джуна и быстрее."
1,Контакты @anton_srk
4,"Ищем дополнительных авторов на курс Математика для МЛ/ДЛ для мотивированных школьников-олимпиадников 9-11 классов, которые уже изучают МЛ/ДЛ, участвуют во всероссийской олимпиаде по анализу данных, но испытывают затруднения из-за нехватки багажа по математике."
12,Вилка: 5-10к чистыми за один урок на 5-10 минут
7,Должность: автор материалов курса по математике для школьников
13,Занятость: проектная
6,Формат: удаленно + 1-2 дня очно для съемок в ФизтехПарке на Новодачной
4,Описание: https://www.notion.so/110c3611eb0c4f62a2fe960f6b6518b4
1,Контакт: @LizaZhadik
4,Java разработчики в команду интеграции SberCRM – 1С
7,1) Java Senior разработчик + Team Lead
7,2) Java Senior/Middle разработчик
5,SberCRM – облачное SaaS b2b решение для управления процессом продаж.
5,"CRM продаётся как в сегменте малого и среднего бизнеса, так и крупным компаниям."
4,Команда интеграции SberCRM-1С разрабатывает интеграционные решения для улучшения пользовательского опыта и снижения затрат на процессы продаж и документооборота:
4,• Создаёт и дорабатывает модуль CRM по интеграции с учётными системами 1С (самостоятельная и шаблонная интеграции для малого и среднего бизнеса)
4,• Реализует проекты по кастомизированной интеграции для крупных предприятий
4,• Организовывает поддержку пользователей.
9,"Задачи, которыми нужно будет заниматься:"
9,"• Участие в проекте в роли разработчика (примеры задач: разработка модуля тарификации, разработка мастера интеграционных конфигураций, написание кода для обмена новыми типами данных, кастомизация кода под конфигурации 1С, доработка существующего решения)"
9,"• Для Team lead: выстраивание процесса разработки, управления разработкой в соответствии с гибкими методологиями, валидация pull requests других разработчиков команды"
9,"• Проектирование технический решений, проработка и валидация его архитектуры (например, выбор способа интеграции: OData vs REST API)"
9,• Разработка автоматизированных и unit тестов
9,"• Диагностирование ошибок и сбоев, исправление причин."
11,Подходящий кандидат на эту позицию:
11,• Обладает опытом разработки на Java от 3 лет
11,• Уверенно владеет Java 8 и выше
11,"• Знает Spring (Core, Boot, MVC, JPA, Security)"
11,"• Знает SQL и имеет опыт работы с реляционными СУБД, понимает особенности PostgreSQL"
11,• Работал с ORM (лучше Hibernate)
11,"• Работал с фреймворками и библиотеками тестирования: JUnit, Mockito"
11,• Отлично знает GIT.
11,"Будет преимуществом, если кандидат:"
11,• Имеет опыт построения сервисов «с нуля» на проектах с микросервисной архитектурой
11,"• Работал с Apache Kafka, Docker, Kubernetes / OpenShift"
11,"• Слышал о Istio, ELK/EFK, Spring Cloud"
11,"• Имел опыт взаимодействия с OData и REST API, системами 1С"
11,• Участвовал в проектах по интеграции систем
17,Условия:
17,• Современный Agile-home на Кутузовском проспекте (+ возможность работы удалённо)
17,• Работа в организации со статусом «ИТ компании»
17,• Возможность профильного обучения за счет компании
17,"• Стабильная, конкурентная «белая» заработная плата (оклад + премии)"
17,• Льготные условия по кредитам Сбербанка
17,"• ДМС, страхование от несчастных случаев и социальные гарантии"
12,Вилка ЗП
12,300-450 тыс Р в зависимости от уровня позиции
1,По вопросам пишите @sergey_vlad
0,Всем привет!
2,Ищем амбициозных Junior+/Middle PHP + Laravel разработчиков!
12,Зарплатная вилка от 110.000 до 180.000 ₽
3,Организация: Skweb
13,Занятость: проектная
6,Формат: удаленная работа
4,"Мы работаем с онлайн-школами и корпоративными университетами, которым предоставляем платформу для организации процесса обучения."
4,Наша работа состоит в развитии уже готовой платформы.
4,"Ищем человека, который готов включиться в развитие таких платформ для онлайн-школ."
16,Основные используемые технологии на проекте:
16,Back-end: PHP+Laravel
16,Front-end: JS+Vue.js
16,СУБД: PostgreSQL/MySQL
16,Общение: Telegram/Discord
9,Чем вы будете заниматься:
9," ⁃ Разрабатывать и поддерживать микросервисы продукта;"
9," ⁃ Проектировать микросервисы;"
9," ⁃ Поддерживать и развивать текущий функционал, а также писать новый;"
9," ⁃ Покрытие кода тестами;"
9," ⁃ Участвовать в обсуждении новой функциональности;"
9," ⁃ Проектировать СУБД."
11,Чего мы ждем от вас:
11," ⁃ Хорошие знания PHP, Laravel, MySQL или PostgresSQL;"
11," ⁃ Понимание принципов построения REST;"
11," ⁃ Релевантный опыт работы от 1 года;"
11," ⁃ Опыт работы с Git;"
11," ⁃ Опыт работы в команде."
11,Приветствуется:
11," ⁃ Опыт работы по методологии Scrum;"
11," ⁃ Наличие опыта работы в формате спринтов."
17,Какие условия мы предлагаем:
17," ⁃ Полностью удаленная работа;"
17," ⁃ Быстрый карьерный рост;"
17," ⁃ Возможность брать более широкую ответственность;"
17," ⁃ Гибкий график."
1,По всем вопросам писать в Telegram @k1rm1
7,Должность: NLP Engineer
6,Формат работы: remote
13,Занятость: проект
12,Зарплатная вилка: 35-45$ per hour
4,Описание вакансии:
4,"Ищем NLP Engineer, чтобы заниматься улучшением генеративной модели (GPT-based)."
9,"Нужно будет обучать модельки, запускать эксперименты, оптимизировать под production."
11,"Точно нужен хороший Python, опыт с hf transformers и умение писать чистый код."
11,В идеале - предыдущий опыт работы c GPT и запуск моделей в production.
6,"Нужен минимум парт-тайм на 20 часов в неделю, отлично подходит тем у кого уже есть солидные знания в NLP и хочется получить побольше опыт работы с Language Models."
15,"Если все пройдет успешно, то готовы обсуждать фултайм и работу над другими NLP проектами."
1,Контакты: @whiteRa2bit
7,WordPress Plugin Developer
11,Experience: worked on live WordPress plugins/ develop WordPress plugins which are live on the market.
12,"Payment: it depends on your reference, for the start 8-18 € per hour or fixed for a projectstep."
6,"Workload: online, part-time, with Wordpress codex, English speaking team."
9,Goal: To develop the easiest product on the market of cookie solutions.
4,The key feature should be that a non-tech customer can use it in a way that the cookie plugin tells him /detect which tracking codes are actually on the website.
4,The problem of the market here is we have only complex solutions that customers are not able to edit on their own.
5,"About us: marketing agency, located in Germany."
5,"Our team is young international, which have a lot of projects, huge workload with big and small german companies."
5,"The projects are about e-commerce web design, SEO and advertising."
15,It’s really interesting to have long-term relationships with our developers.
11,We are looking for people who think and push forward.
1,Send me please one or two your work examples to my email: mahrle.oliver@gmail.com
2,🖥 Ищем Fullstack разработчика на Python3
12,120-180к / мес
5,Мы молодой финтех стартап - разрабатываем систему рассрочек для онлайн школ.
5,"У нас есть первая тысяча клиентов и работающий прототип, который мы постоянно расширяем."
5,Основатель - выпускник Физтеха
6,Ищем человека на удаленку.
11,"Ожидаем, что ты:"
11,• Умеешь в Python3/Django/SQL/Rest API/Heroku
11,• Имеешь минимальные знания Bootstrap/CSS/JS для прототипирования
11,"Будет плюсом, если ты знаешь:"
11,+ Создавать и дорабатывать приложения на Vue.js
11,+ Умеешь писать Tg ботов
11,+ Работать с PDF документами из Python
9,Чем предстоит заниматься:
9,"> Поддерживать и расширять существующий функционал - дорабатывать фронт и бэк, исправлять ошибки (Sentry), писать ботов, шаблонизаторы документов"
9,> Писать документацию
9,> Покрывать код тестами
1,@fnceba
7,Ищем Аналитика-математика
10,"Город и адрес офиса: Москва, Севастопольский пр-кт, 47А (метро Профсоюзная, Нахимовский проспект)"
6,Формат работы: офис с возможностью комбинированного графика
13,Занятость: полная
12,Зарплатная вилка: от 130 до 250  тыс.руб.
3,Компания: ООО «НИИ Транснефть»
0,Ищем:
7,Аналитиков-математиков с различным стажем и опытом.
5,Подробнее о нас:
5,"Мы R&D команда ООО ""НИИ Транснефть"", работающая над интересными проектами в сфере разработки программного обеспечения, автоматизируя ручной труд сотрудников ПАО ""Транснефть""."
5,"Аналогов наших продуктов в мире практически не существует и каждый из них основан на результатах исследований, тестирования гипотез и математических изысканий."
5,"Мы проводим глубинные интервью, выявляем боли заинтересованных лиц, определяем слабые стороны существующего на производстве софта и исходя из полученных предпосылок формируем действительно полезный для конечного пользователя продукт."
4,"В данный момент формируется команда для новых проектов автоматизации транспортного, технологического и диспетчерского секторов ПАО ""Транснефть"" и нам нужны аналитики-математики со знаниями высшей математики, теории графов, решении оптимизационных задач, алгоритмов и/или физики течения жидкости."
4,"Кандидат может быть как экспертом в одной из перечисленных областей, так и обладать достаточной эрудицией, чтобы погрузиться в задачи из нескольких областей сразу."
11,"Большим плюсом будет опыт программирования на любом языке, наиболее релевантны - Python, Matlab."
9,Об основных задачах:
9,▪️Математическая постановка автоматизируемых бизнес-задач;
9,▪️Формирование прототипов алгоритмов на основе имеющихся методик решения прикладных задач;
9,▪️Участие в разработке алгоритмов решения новых прикладных задач;
9,▪️Формирование технического описания алгоритмов  для имплементации разработанных алгоритмов в промышленный код разработчиками ПО;
9,▪️Участие в юнит-тестировании и верификации внедренных разработчиками решений;
9,"▪️Взаимодействие со всеми участниками процесса: заказчиками, дизайнерами, разработчиками, тестировщиками и менеджерами;"
9,▪️Участие в консультативной роли при написании проектной документации по стандартам ГОСТ техническими писателями;
1,С вопросами и предложениями к: @konstantin_tosakov
7,"Системный разработчик на C. Middle, middle+"
10,"Город и адрес офиса: г. Черноголовка, Первый проезд, д."
6,"Формат работы: офис или удаленка, обсуждаемо"
13,"Занятость: полная, частичная, обсуждаемо"
12,Зарплатная вилка: от 110к до 200к
11,Необходимый минимум:
11,"— Коммерческий опыт разработки на языке C от 2 лет, есть завершенные проекты в продакшене;"
11,— Опыт разработки модулей ядра Linux;
11,"— Отличное знание сетевых протоколов, опыт работы с ними;"
11,— Есть хорошее понимание в сфере интернет безопасности;
11,— Желание разбираться с новейшими веяниями в области сетей и разработки программного обеспечения для них;
11,Будет плюсом:
11,"— Наличие сертификатов о прохождении курсов по информационной безопасности и сетевых, например Cisco;"
11,"— Если вы хотите переехать в Московскую область (Черноголовка), но не обязательно."
15,Поможем с переездом;
9,Задачи:
9,"— Разработка систем дешифровки, обработки, шифрования трафика на различных сетевых протоколах;"
9,— Разработка модулей ядра и других компонентов системы Linux;
9,— Исследование новых сетевых протоколов и доработка предыдущих решений по результатам исследований;
14,Название компании: https://artx.ru/
4,Наша команда создает софт для городской среды и бизнеса.
4,"Мы делаем доступными и безопасными инструменты, направленные на автоматизацию систем городского жизнеобеспечения, бизнеса и защиту сетевого трафика."
4,Мы аккредитованная IT-компания + телекомммуникационная компания - это двойная отсрочка от армии для наших работников.
1,"Если заинтересовало, пишите @tasyakemova"
0,Привет!
4,"Меня зовут Артур Самигуллин, я тимлид продуктовых и BI-аналитиков SberDevices."
7,Ищу middle+/senior продуктового аналитика на направление по мобильному приложению СалютАпп (iOS+Android).
12,"Вилка 200-400к до вычета налогов, возможна удаленная работа по РФ в Московском часовом поясе."
7,"С нас интересные задачи по продуктовой аналитике направления и возможность выстроить аналитику направления, с вас - горящие глаза, опыт и скиллы из описания вакансии."
19,Откликаться по ссылке:
19,https://hh.ru/vacancy/70994461
10,"NVI Research / NVI Solutions, Москва"
14,nvi-research.ru
0,ИНФО
5,Делаем крутейшую систему видеоаналитики owl.Guard.
5,"Внедряем AI на тяжелейших производствах, помогаем работягам вернуться домой с вахты живыми, а руководству - снизить косты на травматизм & предотвратить инциденты."
5,"По камерам (станционарные + PTZ + тепловизоры) решаем множество CV задач - детектируем, тречим, идентифицируем, локализуем людей в 3D; понимаем, что люди надевают каски, респираторы, очки и т.д."
0,и т.п.
4,"Система работает 24/7/365 на нефтегазовых объектах в Заполярье с отвратительным интернетом и тяжелейшим монтажом оборудования, а детекторы должны выдавать отличное качество в условиях тряски, загрязнения видеокамер, плохой видимости."
5,Быстро растем и нам нужны новые сильные люди
17,УСЛОВИЯ
17,"- только офис, в исключительных случаях рассмотрим гибрид"
17,- уютный офис на Шаболовской
17,"- сильная команда, почти все с физтеха"
17,"- работа с крупными надежными заказчиками - Газпром-Нефть, НЛМК"
17,"- аккредитованная ИТ-компания, резидент Сколково, поддерживаем критическую инфраструктуру"
0,НУЖНЫ (в мою команду)
20,"инженер по работе с данными (стажер / джун), 50-70к на руки"
9,Задачи
9,- готовить наборы данных для обучения детекторов
9,- получать & обрабатывать данные с различных инстансов системы
20,"CV / ML / DL инженер (джун / мидл), 100-160k на руки"
9,Задачи
9,"- разработка, прототипирование и улучшение ML алгоритмов"
9,"- работа с данными (существующие датасеты, поиск ошибок)"
9,- анализ поведения детекторов в проде
11,Требования
11,- опыт решения CV задач
11,- уверенное знание Python + стандартного ML стека
11,- базовое умение читать и писать С++
11,"- отсутствие страха перед: docker compose, CI/CD, gtest/unittest, CUDA driver version mismatch"
0,"НУЖНЫ (в соседние команды, детали в приложении)"
11,делать систему поверх ядра распознавания
20,"- системный администратор, 140-180к на руки"
11,выкатывать систему на все объекты & мониторить ее показатели
1,КОНТАКТЫ
1,https://t.me/lev_t
2,В Лаборатории Машинного Интеллекта МФТИ открыта вакансия Кооперационный менеджер/Администратор проектов.
12,Вилка: 60-120к (в зависимости от опыта и компетенций)
6,Формат: full-time remote (40 часов/нед.)
2,Лаборатория Машинного Интеллекта МФТИ ищет администратора кооперационных проектов.
4,"Мы разрабатываем для крупных компаний прорывные решения на основе ИИ и ищем специалиста, который поможет нам организовать формальную сторону реализации проектов."
